№,Название стихотворения,H бит,Число начальных букв с нулевыми частотами,Количество слов в стихотворении,Частоты слов на начальные буквы в,Частоты слов на начальные буквы н,Частоты слов на начальные буквы с
370,"Лихой товарищ наших дедов,",3.1037,19,20,0.1000,0.1000,0.1500
371,Ненастный день потух; ненастной ночи мгла,3.7172,9,113,0.0973,0.2124,0.0619
372,"Презрев и голос<?> укоризны,",3.9470,9,110,0.0909,0.0455,0.1545
373,<К Сабурову.>,3.6813,13,40,0.0250,0.0500,0.1750
374,Младенцу,3.7507,13,37,0.0541,0.1081,0.0270
375,Стихотворение 380,3.7765,11,64,0.0938,0.1406,0.1250
376,I.,4.1316,2,879,0.1024,0.0933,0.1138
377,Лизе страшно полюбить.,3.8833,12,29,0.0345,0.1034,0.1034
378,<Из письма к Родзянке.>,3.6726,13,28,0.0357,0.0357,0.0357
379,Послание к Л. Пушкину,4.0703,6,110,0.1000,0.0545,0.0909
380,Ты вянешь и молчишь: печаль тебя снедает:,4.1284,7,127,0.1024,0.1181,0.0630
381,Чедаеву,4.1531,8,82,0.0976,0.0610,0.1220
382,Аквилон,3.8466,11,68,0.0735,0.1324,0.0588
383,Пускай увенч<анный> любов<ью> красоты,4.0929,8,54,0.0556,0.1852,0.0185
384,Второе послание к цензору,4.1646,5,423,0.0757,0.1064,0.0969
385,"Тимковский царствовал – и все твердили вслух,",3.6619,14,27,0.1481,0.1481,0.0370
386,Стихотворение 391,1.0000,27,2,0.0000,0.0000,0.5000
387,Стихотворение 392,3.2034,18,23,0.0000,0.0435,0.1304
388,"От многоречия отрекшись добровольно,",3.0187,20,25,0.1200,0.0400,0.1600
389,"Нет ни в чем вам благодати,",3.0338,19,23,0.2609,0.1739,0.1304
390,О муза пламенной сатиры!,3.8602,9,79,0.1013,0.1266,0.0759
391,<На Александра I.>,3.8078,13,34,0.0588,0.1176,0.0000
392,Дружба,3.1069,19,15,0.0667,0.0000,0.0000
393,Стихотворение 398,1.0000,27,2,0.0000,0.0000,0.5000
394,Сожженное письмо,3.9397,9,91,0.0989,0.0769,0.0879
395,"Твое соседство нам опасно,",3.6856,14,35,0.0286,0.1714,0.0857
396,<Ha Ф. H. Глинку.>,3.4314,16,23,0.0870,0.1304,0.0435
397,"«Quand au front du convive, au beau sein de Dеlie…»",4.0804,10,37,0.0541,0.0811,0.0541
398,"Лишь розы увядают,",3.7337,14,25,0.0800,0.0800,0.0400
399,<На Воронцова>,3.9690,9,70,0.1000,0.1000,0.1286
400,Приятелям,3.5384,14,43,0.1395,0.1628,0.0465
401,<Наброски к замыслу о Фаусте.>,4.3205,5,284,0.1056,0.0704,0.0704
402,Я был свидетелем златой твоей весны;,3.9706,10,77,0.0390,0.0779,0.1169
403,Совет,3.6715,12,46,0.0870,0.2174,0.1087
404,<O. С. Пушкиной.>,3.4717,16,35,0.0571,0.1429,0.2000
405,"Напрасно ахнула Европа,",3.5937,15,33,0.0909,0.1212,0.0909
406,Ода его сият. гр. Дм. Ив. Хвостову,4.2812,3,381,0.0814,0.0735,0.1024
407,"Жив, жив Курилка!",3.7366,12,53,0.1132,0.0943,0.0943
408,Козлову,4.0374,7,96,0.1146,0.0938,0.0833
409,Желание славы,4.0862,7,193,0.0984,0.0829,0.0777
410,Ex ungue leonem.34 - По когтям <узнают> льва. (лат.),3.9787,10,56,0.0357,0.1071,0.0714
411,Стихотворение 416,1.5850,26,3,0.0000,0.0000,0.0000
412,. <Осиповой>,3.9248,11,69,0.1449,0.0580,0.0725
413,"Храни меня, мой талисман.",3.7470,11,81,0.1481,0.0370,0.0988
414,Андрей Шенье. Посвящено Н. Н. Раевскому,4.1999,2,1117,0.0859,0.0806,0.0976
415,<K Родзянке.>,4.0752,6,144,0.0486,0.0972,0.1042
416,Стихотворение 421,-0.0000,28,1,0.0000,0.0000,0.0000
417,. <Керн>,4.0111,9,103,0.1165,0.0388,0.0485
418,"Блестит луна, недвижно море спит,",3.8897,6,69,0.0580,0.0870,0.1594
419,Жених,4.1461,4,738,0.0813,0.1220,0.1192
420,"Если жизнь тебя обманет,",3.5020,16,31,0.1935,0.1290,0.0968
421,"Заступники кнута и плети,",3.6573,14,46,0.0870,0.0652,0.0217
422,Словесность русская больна,3.6069,15,22,0.0455,0.0000,0.0455
423,На небесах печальная луна,3.8518,13,28,0.1071,0.1429,0.0714
424,<Из письма к Вяземскому.>,3.5446,15,40,0.0500,0.1500,0.0500
425,Вакхическая песня,4.0016,9,69,0.0870,0.0580,0.1304
426,Н. Н,3.7227,12,62,0.1613,0.1452,0.0806
427,Сафо,3.4194,17,18,0.0556,0.0556,0.1111
428,Цветы последние милей,3.5219,16,20,0.0500,0.0500,0.1000
429,19 октября,4.1503,3,852,0.0704,0.0927,0.1056
430,<Из письма к Вяземскому.>,3.9218,10,59,0.0508,0.1356,0.0339
431,"Брови царь нахмуря,",4.0452,9,43,0.0930,0.0698,0.0233
432,Соловей и кукушка,3.8997,11,44,0.0909,0.1364,0.0909
433,Движение,3.6257,14,46,0.0652,0.1304,0.1522
434,Всё в жертву памяти твоей:,3.3593,15,33,0.1212,0.0000,0.1212
435,Сцена из Фауста. Берег Моря. Фауст и Мефистофиль,4.2926,4,512,0.0957,0.0840,0.0820
436,Зимний вечер,3.8938,10,126,0.1111,0.0317,0.0952
437,"Вертоград моей сестры,",3.8334,13,39,0.0769,0.1026,0.0513
438,"В крови горит огонь желанья,",3.7382,14,34,0.0882,0.0588,0.0588
439,Буря,3.4647,15,59,0.1695,0.1017,0.0678
440,Прозаик и поэт,4.0606,10,38,0.0789,0.0789,0.0526
441,<Из вольтера.>,3.9752,8,79,0.1139,0.0759,0.0633
442,Хотя стишки на именины,3.6562,12,63,0.1587,0.1587,0.0952
443,"Под каким созвездием,",3.6477,14,30,0.0333,0.0333,0.0667
444,"Что с тобой, скажи мне, братец?",3.3962,16,45,0.0667,0.0000,0.2000
445,С португальского,4.2830,3,284,0.0669,0.0915,0.0951
446,<Анне Н. Вульф.>,3.8603,8,38,0.0263,0.2632,0.1053
447,Стихотворение 452,1.0000,27,2,0.0000,0.0000,0.5000
448,К Баратынскому,3.5425,16,24,0.0417,0.0000,0.0417
449,<Из письма к Великопольскому.>,3.5370,14,48,0.0625,0.0417,0.1875
450,К Е. Н. Вульф,3.1378,18,26,0.2308,0.1923,0.1154
451,Из Ариостова «Orlando Furioso».46 - «Неистовый Орланд». (итал.),4.2552,3,489,0.0859,0.0961,0.1084
452,"Кристал, поэтом обновленный",3.6572,15,34,0.0882,0.0000,0.0588
453,Под небом голубым страны своей родной,3.8588,11,85,0.0706,0.1647,0.1059
454,К Вяземскому,3.5523,14,35,0.1429,0.1429,0.1429
455,К Языкову,3.7677,11,71,0.1408,0.0986,0.0704
456,Песни о Стеньке Разине,4.0290,8,267,0.0861,0.0899,0.1273
457,"Будь подобен полной чаше,",3.8398,8,110,0.1182,0.1636,0.1455
458,Признание,4.1292,5,198,0.1515,0.0909,0.0707
459,Пророк,3.9010,8,133,0.1203,0.0226,0.0376
460,К. А. Тимашевой,3.6149,12,56,0.2321,0.0179,0.1071
461,<Няне.>,3.7289,13,53,0.0943,0.0755,0.0943
462,<Из письма к Соболевскому.>,4.0526,7,107,0.1028,0.0467,0.1308
463,"Как счастлив я, когда могу покинуть",4.2313,6,160,0.0563,0.0688,0.1313
464,<Из письма к Алексееву.>,3.6304,15,21,0.0000,0.0952,0.0476
465,<И. И. Пущину>,3.6907,14,43,0.0000,0.0000,0.0698
466,Стансы,3.8284,10,87,0.0690,0.1264,0.1264
467,Стихотворение 472,1.5850,26,3,0.0000,0.0000,0.0000
468,"Нет, не черкешенка она;",3.3254,15,36,0.1667,0.2500,0.1389
469,Зимняя дорога,4.0333,10,98,0.0510,0.1020,0.1224
470,В евр<ейской> хижине лампада,3.9276,10,115,0.1217,0.0957,0.1478
471,К**,3.8378,11,54,0.0556,0.0741,0.0741
472,<Мордвинову.>,3.9171,9,144,0.1250,0.0764,0.1250
473,Стихотворения 1827 г,3.8012,11,67,0.1791,0.0597,0.1194
474,Соловей и роза,3.7934,12,56,0.1250,0.1607,0.0893
475,Эпиграмма. (из антологии),3.6053,15,32,0.0312,0.0000,0.0625
476,Есть роза дивная: она,3.4116,17,26,0.0769,0.0385,0.0000
477,<Ек. Н. Ушаковой.>,4.0766,9,77,0.0519,0.0390,0.0779
478,Княгине З. А. Волконской,4.0316,10,61,0.1311,0.0492,0.0656
479,<Кн. П. П. Вяземскому.>,2.9427,19,25,0.0400,0.0400,0.0000
480,<Ек. Н. Ушаковой>,3.8438,12,37,0.1622,0.0811,0.0270
481,"В степи мирской, печальной и безбрежной",3.4861,15,41,0.1220,0.0000,0.1220
482,Арион,3.8505,11,71,0.1408,0.1127,0.0704
483,Ангел,3.8493,10,56,0.1429,0.1607,0.0714
484,"Какая ночь! Мороз трескучий,",4.1074,4,256,0.0742,0.0898,0.1367
485,"Весна, весна, пора любви,",3.6035,14,41,0.1707,0.0732,0.0488
486,<Кипренскому.>,4.1237,7,57,0.1404,0.1053,0.0702
487,Акафист Екатерине Николаевне Карамзиной,3.5941,14,42,0.0952,0.1429,0.1667
488,Поэт,4.0164,9,81,0.0864,0.0988,0.0988
489,"Близ мест, где царствует Венеция златая,",3.9595,9,76,0.0789,0.1053,0.0789
490,Из Alfieri.47 - Альфиери. (итал.),4.1408,6,150,0.0800,0.0933,0.1067
491,Послание Дельвигу,4.1827,1,752,0.0984,0.0638,0.1064
492,Всем красны боярские конюшни:,3.9164,6,161,0.1304,0.0932,0.0994
493,Блажен в златом кругу вельмож,3.9067,10,49,0.1224,0.0204,0.1224
494,"В роще карийской, любезной ловцам, таится пещера,",3.7190,13,52,0.1538,0.0385,0.1346
495,Сводня грустно за столом,4.2874,3,255,0.1255,0.0667,0.0980
496,19 Октября 1827,3.7490,11,44,0.2045,0.0227,0.0455
497,Рефутация г-на Беранжера,3.8450,5,281,0.0996,0.1637,0.1032
498,Талисман,3.8003,11,126,0.1032,0.1111,0.0794
499,<Баратынскому.>,3.4661,16,29,0.1034,0.0000,0.1724
500,Я знаю край: там на брега,3.5591,15,25,0.0400,0.2000,0.1200
501,Стихотворение 506,1.0000,27,2,0.0000,0.0000,0.5000
502,Друзьям,4.1194,6,150,0.0867,0.1200,0.0733
503,Стихотворение 508,4.0392,6,174,0.0805,0.1149,0.1092
504,"Сто лет минуло, как тевтон",3.9267,7,194,0.1289,0.0825,0.1495
505,Эпитафия младенцу. <Кн. Н. С. Волконскому>,3.6899,14,29,0.1724,0.0345,0.1034
506,"«Кто знает край, где небо блещет…»",4.0587,6,255,0.1255,0.1020,0.0706
507,Стихотворение 513,4.0822,5,83,0.1325,0.0964,0.0723
508,"Увы! Язык любви болтливый,",4.2210,7,75,0.0400,0.0933,0.1067
509,"То Dawe, Esqr.49 - К господину Дау. (англ.)",4.1762,9,36,0.0833,0.0000,0.0278
510,Воспоминание,3.9317,9,82,0.1098,0.0976,0.1220
511,Ты и вы,3.5372,15,39,0.1795,0.0769,0.1538
512,"«Дар напрасный, дар случайный…»",3.6889,14,51,0.0784,0.1176,0.1176
513,И. В. Сленину,3.9800,9,84,0.0595,0.1071,0.0833
514,Еще дуют холодные ветры,4.0545,9,58,0.0862,0.0345,0.0517
515,"Кобылица молодая,",3.7029,13,45,0.0667,0.1333,0.0667
516,Ее глаза,3.9439,8,72,0.0694,0.0694,0.1667
517,"Не пой, красавица, при мне",3.8697,9,68,0.0294,0.1176,0.0147
518,К Языкову,4.1375,7,117,0.0684,0.0855,0.0940
519,<Н. Д. Киселеву.>,3.2916,18,26,0.1154,0.1154,0.1923
520,Портрет,3.3025,16,33,0.0909,0.0000,0.3030
521,Наперсник,3.7778,14,34,0.0000,0.0882,0.0882
522,Кирджали,3.8265,13,44,0.0682,0.0455,0.1136
523,А в ненастные дни,3.4831,16,25,0.1200,0.1200,0.0800
524,Предчувствие,4.1856,7,86,0.0465,0.0814,0.1279
525,Утопленник,4.1852,5,325,0.1323,0.0892,0.0677
526,"Рифма, звучная подруга",4.0292,8,172,0.0581,0.0523,0.1163
527,<Б. М. Федорову.>,2.8585,21,16,0.0000,0.1875,0.0000
528,"Ворон к ворону летит,",4.0477,8,64,0.1719,0.0938,0.0469
529,"Город пышный, город бедный,",3.6556,15,32,0.1250,0.1250,0.0938
530,Стихотворение 537,1.9219,25,5,0.0000,0.0000,0.0000
531,Если в жизни поднебесной,3.2806,18,16,0.0625,0.0625,0.1250
532,"Amour, exil —50 - Любовь, изгнание. (франц.)",2.3219,24,5,0.0000,0.0000,0.0000
533,Не смею вам стихи Баркова,3.0566,20,15,0.0667,0.1333,0.2000
534,"Когда, стройна и светлоока,",3.3372,18,17,0.0588,0.0000,0.1765
535,"Вези, вези, не жалей,",3.5698,14,24,0.1667,0.2083,0.0417
536,<19 октября 1828.>,2.8855,20,18,0.1667,0.0000,0.0000
537,"Уродился я, бедный недоносок,",3.0792,19,22,0.0000,0.2273,0.1818
538,В прохладе сладостной фонтанов,4.2256,5,92,0.0652,0.0652,0.1196
539,Клеопатра,4.2311,4,343,0.1195,0.0700,0.1020
540,Анчар.51 - Древо яда.,4.1336,6,165,0.1030,0.0788,0.1091
541,Ответ Катенину,3.7817,11,89,0.0899,0.1124,0.0899
542,Ответ А. И. Готовцевой,4.0901,8,74,0.0541,0.0946,0.1081
543,Цветок,4.0718,9,75,0.0800,0.0667,0.0667
544,Брадатый староста Авдей,3.7326,13,38,0.1316,0.0526,0.1316
545,За Netty52 - Нетти. (англ.),3.5338,15,22,0.1364,0.0909,0.0455
546,"Как быстро в поле, вкруг открытом,",3.8366,11,53,0.0943,0.0377,0.0189
547,Поэт и толпа,4.1192,6,256,0.1016,0.1172,0.0820
548,"«Каков я прежде был, таков и ныне я…»",3.9049,10,76,0.0789,0.1053,0.0263
549,Лищин<ский> околел – отечеству беда!,3.0221,20,12,0.0000,0.0000,0.2500
550,"Покойник, автор сухощавый,",2.1972,24,9,0.0000,0.0000,0.2222
551,Стихотворение 559,1.0000,27,2,0.0000,0.0000,0.5000
552,E. H. Ушаковой,3.7934,9,88,0.2045,0.1250,0.0795
553,<Е. П. Полторацкой.>,3.2090,19,22,0.0909,0.1364,0.0000
554,"Подъезжая под Ижоры,",3.8763,8,86,0.1977,0.0930,0.1047
555,Приметы,3.6746,11,53,0.0943,0.0000,0.2075
556,Литературное известие,4.0346,9,54,0.0926,0.0556,0.1481
557,Эпиграмма. «Журналами обиженный жестоко…»,3.9993,10,75,0.0667,0.1200,0.0800
558,<На Великопольского.>,3.7395,13,41,0.0488,0.0976,0.1220
559,"Эпиграмма. «Там, где древний Кочерговский…»",3.7030,14,33,0.0909,0.0606,0.1212
560,«Кто на снегах возрастил Феокритовы нежные розы?…»,3.8182,12,39,0.1282,0.1026,0.1282
561,На холмах Грузии лежит ночная мгла;,3.5522,14,44,0.0227,0.1591,0.0455
562,Калмычке,4.1002,5,113,0.0885,0.1327,0.0708
563,<Фазиль-Хану.>,3.7077,13,38,0.0526,0.1579,0.1579
564,"Жил на свете рыцарь бедный,",4.0110,6,216,0.1250,0.1065,0.1296
565,Из Гафиза,3.8214,11,49,0.0408,0.1224,0.1633
566,"Критон, роскошный гражданин",3.9189,10,58,0.1207,0.0690,0.0690
567,Стихотворение 576,3.9655,10,75,0.1067,0.1067,0.0800
568,Олегов щит,3.6402,13,76,0.0921,0.0658,0.2237
569,Как сатирой безымянной,3.8477,13,30,0.1000,0.0667,0.1000
570,"Опять увенчаны мы славой,",3.6165,15,33,0.1515,0.0000,0.1212
571,"Восстань, о Греция, восстань.",3.4991,15,44,0.1364,0.1136,0.1136
572,Зорю бьют… из рук моих,3.8042,13,32,0.0625,0.0938,0.0625
573,"Счастлив ты в прелестных дурах,",3.1681,17,40,0.2250,0.1000,0.1250
574,<На Надеждина.>,3.9719,8,54,0.0185,0.1481,0.1296
575,"Был и я среди донцов,",3.6711,13,52,0.0385,0.1538,0.1154
576,Сапожник,3.8597,8,73,0.0822,0.1370,0.1781
577,<На Надеждина.>,3.0053,19,19,0.1053,0.2105,0.2632
578,Дон,3.9655,9,58,0.0345,0.0172,0.0862
579,Дорожные жалобы,3.9945,8,137,0.1022,0.1168,0.0584
580,Медок,3.8427,10,137,0.1606,0.0511,0.0803
581,"Стрекотунья белобока,",3.3493,17,25,0.0400,0.0800,0.2000
582,«Зима. Что делать нам в деревне? Я встречаю…»,4.1032,6,300,0.1300,0.0767,0.1300
583,Зимнее утро,4.0459,8,123,0.0732,0.1057,0.1057
584,"Зачем, Елена, так пугливо,",3.5538,15,21,0.0476,0.0476,0.0952
585,Эпиграмма. «Седой Свистов! ты царствовал со славой…»,2.8584,18,45,0.0889,0.0667,0.3778
586,Эпиграмма. «Мальчишка Фебу гимн поднес…»,3.9057,11,57,0.0702,0.0000,0.0877
587,"Я вас любил: любовь еще, быть может,",3.7129,12,50,0.1400,0.1200,0.0200
588,Воспоминания в Царском селе,4.0861,3,274,0.1277,0.0657,0.1423
589,"Поедем, я готов; куда бы вы, друзья,",3.8113,12,81,0.0617,0.0864,0.0617
590,"Еще одной высокой, важной песни",4.0975,6,183,0.1475,0.0656,0.1148
591,"Брожу ли я вдоль улиц шумных,",4.0874,6,144,0.1111,0.0347,0.0764
592,Кавказ,4.0229,7,140,0.1143,0.1071,0.0857
593,Обвал,3.8941,10,113,0.1062,0.0619,0.1062
594,Делибаш,3.8242,10,63,0.0635,0.1111,0.1270
595,Монастырь на Казбеке,3.7807,11,50,0.1800,0.0800,0.1000
596,"Меж горных <стен><?> несется Терек,",3.9163,12,53,0.1132,0.0566,0.0943
597,И вот ущелье мрачных скал,3.3921,17,18,0.0556,0.1111,0.2222
598,Страшно и скучно,3.4579,16,27,0.1111,0.1111,0.1481
599,Собрание насекомых,3.9305,10,70,0.0857,0.1143,0.0857
600,Когда твои младые лета,3.9881,8,77,0.0000,0.0909,0.0779
601,К бюсту завоевателя,4.1798,8,39,0.1026,0.1282,0.0513
602,Стихотворение 612,1.0000,27,2,0.0000,0.0000,0.5000
603,<Циклоп.>,3.7970,13,34,0.1176,0.0588,0.0882
604,Что в имени тебе моем?,3.9547,9,74,0.1486,0.1486,0.0405
605,Ответ,3.7053,10,73,0.1096,0.1918,0.0959
606,"В часы забав иль праздной скуки,",4.0101,9,82,0.0854,0.0488,0.1341
607,"Нет, я не дорожу мятежным наслажденьем,",3.8265,11,76,0.0921,0.1184,0.0789
608,Сонет,3.9074,11,79,0.0759,0.1013,0.1392
609,<На Булгарина.>,3.6165,14,33,0.0606,0.1212,0.0606
610,Шумит кустарник… На утес,3.7091,13,55,0.1273,0.1455,0.1273
611,К вельможе,4.1757,3,626,0.1054,0.0511,0.1054
612,Новоселье,3.6816,14,37,0.0541,0.0811,0.1622
613,Когда в объятия мои,3.9948,9,79,0.0886,0.0506,0.1392
614,Поэту,3.9256,7,90,0.0778,0.0667,0.1222
615,Мадона,3.9041,9,84,0.1190,0.0476,0.1429
616,"Полюбуйтесь же вы, дети,",3.2917,14,57,0.1053,0.0175,0.0877
617,Бесы,4.0160,7,216,0.1481,0.0926,0.0880
618,Элегия,4.0529,9,76,0.0789,0.0789,0.0789
619,Ответ анониму,4.1417,5,155,0.0516,0.0903,0.1032
620,Труд,3.7287,12,43,0.0233,0.0930,0.1395
621,Царскосельская статуя,3.3667,17,32,0.1250,0.0625,0.1875
622,"Глухой глухого звал к суду судьи глухого,",3.8719,11,36,0.1111,0.0278,0.1389
623,Прощание,3.8049,12,62,0.0484,0.0484,0.1129
624,Паж или пятнадцатый год,4.2334,5,153,0.0850,0.0850,0.0719
625,"Румяный критик мой, насмешник толстопузый,",4.1544,7,185,0.0595,0.1189,0.0919
626,К переводу Илиады.,2.9058,21,18,0.0000,0.0000,0.1667
627,"Я здесь, Инезилья,",3.6434,13,61,0.0000,0.0164,0.1311
628,Рифма,3.8624,10,53,0.0755,0.0943,0.0755
629,Отрок,3.3685,17,26,0.0000,0.0385,0.0385
630,Два чувства дивно близки нам —,3.8014,12,33,0.0303,0.0909,0.0606
631,Когда порой воспоминанье,4.0502,8,143,0.1049,0.0769,0.1049
632,"Эпиграмма. «Не то беда, Авдей Флюгарин…»",3.3771,17,33,0.0606,0.1212,0.0606
633,Заклинание,4.1786,8,112,0.0536,0.0536,0.0893
634,"Стамбул гяуры нынче славят,",4.1496,5,191,0.0838,0.1047,0.1047
635,<Дельвигу.>,4.1493,7,102,0.0784,0.1176,0.0882
636,"Стихи, сочиненные ночью во время бессонницы",4.0290,10,65,0.0615,0.0615,0.1077
637,Герой,4.1748,6,308,0.0714,0.1071,0.0942
638,В начале жизни школу помню я;,4.1178,5,260,0.0846,0.0846,0.1308
639,На перевод Илиады,3.5899,16,15,0.0667,0.0667,0.2000
640,Для берегов отчизны дальной,4.0709,7,109,0.0917,0.0826,0.1101
641,Отрывок,3.2883,17,24,0.0417,0.2083,0.0833
642,Из Barry Cornwall60 - Барри Корнуэл. (англ.),3.6656,10,62,0.0161,0.1129,0.0323
643,Пред испанкой благородной,3.7479,13,61,0.0328,0.0492,0.1148
644,Моя родословная,4.1507,4,372,0.0591,0.1183,0.0968
645,Цыганы,3.7993,11,62,0.1452,0.0806,0.1129
646,Стихотворение 656,1.0000,27,2,0.0000,0.0000,0.5000
647,Перед гробницею святой,3.8263,8,136,0.1397,0.0882,0.1691
648,Клеветникам России,4.1010,3,232,0.1379,0.1121,0.1250
649,<Из письма к Вяземскому.>,3.6346,14,57,0.1228,0.0877,0.0351
650,<Из записки к А. О. Россет.>,3.5414,15,20,0.2500,0.0000,0.0500
651,Бородинская годовщина,4.0815,6,395,0.1291,0.0886,0.1089
652,Эхо,3.8382,11,53,0.1321,0.0377,0.0377
653,Чем чаще празднует лицей,4.1472,6,175,0.0629,0.1086,0.0971
654,Стихотворение 665,1.0000,27,2,0.0000,0.0000,0.5000
655,«И дале мы пошли – и страх обнял меня…»,4.1234,7,268,0.1007,0.0299,0.1343
656,Мальчику,3.5404,14,35,0.1429,0.0571,0.0571
657,<В альбом А. О. Смирновой.>,3.6758,12,47,0.0851,0.0426,0.1915
658,<В альбом кж. А. Д. Абамелек.>,3.5725,14,47,0.1915,0.1064,0.1702
659,<Гнедичу.>,3.8962,8,137,0.0730,0.0657,0.1460
660,Красавица,3.4365,14,68,0.1618,0.1471,0.1765
661,Стихотворение 672,-0.0000,28,1,0.0000,0.0000,0.0000
662,"Нет, нет, не должен я, не смею, не могу",3.7832,10,100,0.0700,0.1600,0.1300
663,В альбом,3.8457,11,38,0.1579,0.0526,0.0789
664,(Из Ксенофана Колофонского.),4.1669,7,101,0.1386,0.0792,0.0891
665,(Из Афенея.),3.7164,13,43,0.0930,0.0465,0.1628
666,Бог веселый винограда,3.4946,14,40,0.2500,0.0250,0.0750
667,В альбом,4.0888,9,56,0.1071,0.0714,0.0893
668,Стихотворение 679,1.0000,27,2,0.0000,0.0000,0.5000
669,"Юноша! скромно пируй, и шумную Вакхову влагу",2.9232,20,15,0.2000,0.0000,0.2667
670,Вино. (Ион Хиосский),3.3232,18,15,0.2000,0.0667,0.0667
671,"Царей потомок Меценат,",3.6927,13,42,0.0238,0.0714,0.1429
672,Гусар,4.2579,3,578,0.1055,0.0848,0.0934
673,Царь увидел пред собой,3.7022,12,66,0.1061,0.0909,0.1364
674,"Французских рифмачей суровый судия,",4.0553,6,218,0.1514,0.0780,0.1101
675,В поле чистом серебрится,3.8867,11,57,0.1053,0.0526,0.1579
676,"Сват Иван, как пить мы станем,",3.8866,7,134,0.0299,0.1269,0.1194
677,"Чу, пушки грянули! крылатых кораблей",3.8082,11,39,0.2051,0.0513,0.0513
678,Будрыс и его сыновья,4.1320,4,313,0.0958,0.1054,0.1182
679,Воевода,4.0992,4,275,0.1309,0.0909,0.0873
680,Когда б не смутное влеченье,3.7627,12,39,0.1538,0.1282,0.0513
681,"Колокольчики звенят,",3.6795,14,39,0.0513,0.0256,0.0000
682,Осень. (отрывок),4.1933,4,569,0.0949,0.0791,0.0949
683,Не дай мне бог сойти с ума.,4.1067,8,140,0.0714,0.1071,0.0929
684,<Дук.>,3.8187,9,136,0.1838,0.1618,0.0588
685,<Плетневу.>,3.9365,11,52,0.0577,0.1154,0.0962
686,Стихотворение 698,1.0000,27,2,0.0000,0.0000,0.5000
687,"Я возмужал среди печальных бурь,",3.7568,13,31,0.0323,0.0645,0.0323
688,"Пора, мой друг, порa! покоя сердце просит —",4.0873,8,56,0.0536,0.0714,0.0714
689,Он между нами жил,3.9485,9,111,0.0991,0.1351,0.1081
690,Везувий зев открыл – дым хлынул клубом – пламя,3.7608,13,36,0.1111,0.0278,0.0833
691,Стою печален на кладбище.,3.6824,13,52,0.0385,0.1346,0.1538
692,Стихотворение 705,1.5850,26,3,0.0000,0.0000,0.3333
693,Предисловие,4.1370,4,685,0.0847,0.0861,0.0788
694,Стихотворение 707,4.1475,3,495,0.0970,0.0949,0.1232
695,2. Янко Марнавич,4.1170,7,282,0.0887,0.0780,0.0993
696,Стихотворение 709,3.9915,6,280,0.0893,0.1250,0.1393
697,4. Феодор и Елена,4.1642,3,437,0.0641,0.0915,0.1076
698,5. Влах в Венеции,4.1516,5,155,0.0839,0.0839,0.0968
699,6. Гайдук Хризич,3.9651,7,232,0.0905,0.1466,0.1336
700,7. Похоронная песня Иакинфа Маглановича,4.0993,8,130,0.0846,0.0846,0.1077
701,8. Марко Якубович,4.1610,4,492,0.0996,0.0955,0.0874
702,9. Бонапарт и черногорцы,4.1218,6,182,0.0824,0.1429,0.0934
703,10. Соловей,3.7406,11,90,0.1111,0.0222,0.0889
704,11. Песня о Георгие Черном,3.9986,7,247,0.1134,0.0486,0.1255
705,12. Воевода Милош,3.8520,10,98,0.1531,0.1429,0.1224
706,13. Вурдалак,3.8963,9,85,0.1765,0.0588,0.1294
707,Стихотворение 720,4.2167,5,622,0.0804,0.0627,0.1013
708,Стихотворение 721,4.2316,4,459,0.1002,0.0850,0.0784
709,16. Конь,4.1596,6,110,0.0727,0.1091,0.1273
710,Стихотворение 723,1.0000,27,2,0.0000,0.0000,0.5000
711,(Из Анакреона),3.6837,14,31,0.0968,0.0968,0.0645
712,Ода LVI,3.7157,13,51,0.1176,0.0784,0.0784
713,Ода LVII,3.8132,13,33,0.0909,0.1515,0.0606
714,"Юношу, горько рыдая, ревнивая дева бранила;",3.9121,13,27,0.0370,0.0741,0.0741
715,Что белеется на горе зеленой?,4.0834,8,142,0.0775,0.0845,0.0493
716,Полководец,4.1717,3,414,0.1256,0.1014,0.0942
717,Туча,3.7911,11,60,0.0167,0.0833,0.0333
718,Из А. Шенье,4.0676,8,88,0.1591,0.0909,0.0455
719,«На Испанию родную…»,4.1528,4,412,0.0777,0.0850,0.0971
720,Менко Вуич грамоту пишет,3.7127,14,42,0.0714,0.0714,0.0476
721,<Ha Дондукова-Корсакова.),3.5585,16,21,0.0476,0.0952,0.0000
722,Кто из богов мне возвратил,4.1662,5,136,0.0809,0.0735,0.0956
723,Странник,4.0665,5,527,0.0987,0.0702,0.1044
724,"К кастрату раз пришел скрыпач,",3.4819,16,46,0.0217,0.0000,0.1739
725,<Плетневу.>,3.8356,10,56,0.0357,0.0714,0.1429
726,"Вы за «Онегина» советуете, други,",3.9663,10,57,0.1228,0.0877,0.0351
727,"В мои осенние досуги,",4.1312,8,124,0.0887,0.0645,0.0806
728,… Вновь я посетил,4.1777,5,291,0.0997,0.0790,0.0756
729,"Я думал, сердце позабыло",3.9226,12,33,0.0909,0.0909,0.0909
730,О бедность! затвердил я наконец,3.8104,13,60,0.0667,0.1167,0.0667
731,Если ехать вам случится,1.9219,25,5,0.2000,0.0000,0.2000
732,"* на *,",4.0322,9,53,0.0377,0.0755,0.1509
